fixed 5% (baseline),fixed 8%,adaptive k=4,adaptive ramp-only,adaptive ease-only
82.47948736713653,74.01677579979537,116.08041947909922,82.51939871973491,118.64106881939745
132.48380625379747,100.40353179140308,140.02265296296747,131.16496540814592,141.87914444430868
144.4950255786054,118.84277105705883,167.70208631785826,145.1312548907741,166.0663412302081
203.42488044859283,168.13939965007032,209.27541558933177,200.200016073029,212.98504143344041
80.72639504343364,70.52735975437497,132.70541986734523,82.16310770027653,122.1470773919308
199.2974841127934,195.87650483191035,214.040268464791,203.80337425517678,208.6737280404457
191.42227242570118,158.92840550538347,195.2035786413321,188.09339010235337,198.60614289077566
61.687708535454625,67.55168124745943,70.66324325874933,58.764335107154665,71.75550306481209
265.6243824036525,217.8657967785151,256.19498842083885,258.3661706726733,258.79925770368953
209.33216880529594,154.1222594612994,234.2234501567796,209.0207584813868,234.0051240793933
151.27338604624194,121.31684007232474,170.74356437714994,148.92568061370605,173.46775279733626
151.04575755434374,139.04332740315024,163.70984113010235,154.17949950109312,162.94076545640564
88.37168515705795,67.91271566500109,111.22148979828228,89.91558758779702,108.77276233863262
105.86481404487768,129.68760104776052,161.6473122471253,142.3318543818492,136.4798042095905
197.95998386478416,185.3653887618814,213.38420466853233,197.9088988392874,215.40194383144578
146.87724358395954,136.66413399482008,147.53740925114334,147.06584090819493,148.16632345305163
168.26030311484797,143.1892968234615,182.24154710802094,166.19492566179488,185.8510916670345
132.5257577828542,89.76465845469887,138.3652653326597,131.6185973000364,140.11507712154147
187.21444912877303,148.32068049785576,195.643435460005,187.86345269738925,202.49253260890686
173.1417682229833,145.56612355386733,191.25292795525678,167.83355268987444,197.75674248274464
121.35008956502028,97.72194271510054,176.0315986252644,124.41061893816715,173.38718156145106
142.07385594482906,129.54891523275137,165.997209869179,134.83188480058683,163.96444612954846
174.64023078992773,100.31527979175041,186.13265289625602,175.44853800661605,185.28333337567412
193.5144498333455,143.23126719708117,202.75037463406417,191.31585427028855,205.54964402743857
168.4794244350097,128.90693589841723,184.2398735356028,166.2485106138875,186.86376835755883
108.52546659464284,100.86804199826081,126.65748111884655,109.21761180807577,126.62556496366831
314.8645092135898,257.8528852752843,343.2115951360005,314.66463671206213,337.0957918373128
134.67074288027717,105.15238152007825,132.93028778619586,128.17778894637007,138.64674730478848
175.6141298669294,160.01226618443258,188.26828422423097,168.60970691301324,191.22964841845308
186.09203913797475,166.88984696836104,202.05371436885108,186.7489636511401,206.83020204692107
206.35994443377686,149.31086179658266,250.9619171239666,204.20517226497267,261.68507170426176
222.97100212351094,183.63153753549977,228.98249423538627,216.79965742868737,235.00178546403131
171.99512139374394,157.52618420883834,219.07754225786107,169.13180857853166,218.72991520862564
167.04391678454573,153.56713086829785,175.16392139587458,165.73219356235626,176.8402550463148
157.2107121886733,113.8620080145562,168.5761258211389,158.34695163179074,166.4953897690656
139.77685721378393,117.88939084865804,144.37817555658307,135.29624123489415,147.2184964009169
218.62889664492621,183.72840985839431,237.60561341835785,208.50753435162153,247.80950133573745
92.54708304904204,76.85778942646023,128.8038361987283,93.67706590317098,127.94801755704643
152.04878719089538,118.99703507359148,173.25009165329047,151.14862233638834,175.8521972218088
216.79634447555233,222.8602683134066,235.76469914528047,224.01826647661636,229.23922691059624
195.99616944570153,128.6143252675165,206.25120641206863,191.64953025443202,212.20876063223128
160.68867020207927,128.68312672636637,165.03169613772278,156.46886413801357,166.87123188799845
192.47446934737204,194.33261485846853,206.73792324904292,194.67609372880963,207.21089068419067
212.42487290795975,212.6124430281249,224.64677938736324,221.8136021598822,217.03239006131219
156.01310258609553,137.08682851394255,171.75550420799334,154.99072929732606,174.2030321943779
113.19651409636755,87.29255162770204,155.75296301268767,112.08799818120895,158.0687915377865
270.8273571931058,247.80888415292083,276.7702902862723,268.2922547080838,280.28589841736766
243.0863493639905,184.3153257753769,258.67029681097455,235.87200771906288,268.77736163066334
149.40715845230295,134.20335155081614,169.37465465693586,147.47699458566407,169.67818971070386
161.29972269310875,134.3257609621224,184.6609991772996,152.68805255171924,176.03449646033255
129.20814485273155,130.0037814396684,147.83077588926935,127.2484924006528,154.08489842691435
126.50474435820041,123.65286847175409,142.83258011399488,125.75387307899281,144.55837055028368
258.4154425663178,186.77738623075973,258.50251027857416,248.69077350449305,267.85863521803685
164.2251388202783,153.40129956083598,184.7609909792931,163.66798275090807,184.89872243426618
236.49780544622968,223.74835947615762,273.5892935055735,233.0035927924895,276.7019982756666
207.15909132194466,136.94902335458556,209.1124189704457,203.47765920821428,212.64337945368192
214.77866032584592,173.51077570340792,231.7244395911749,210.64192359257353,237.2868912518864
161.15816037558906,170.73598682769924,169.21384701389962,161.21214832455144,169.49575398214736
195.16893517741377,167.7160584268912,201.68808991231964,189.90488464833254,204.78416672807552
190.03189531512484,156.8197861593718,206.67944469452704,195.93885576133607,208.87582061065646
175.01345356112998,135.6983258182405,184.31661258396247,173.8291754414317,184.40621161526124
136.416289289133,127.21715732656115,142.87705833733614,132.37332964385396,147.20306099688224
167.09138260413536,121.41910040479131,203.1957795911293,165.84491988862217,200.92382054594182
153.25881742148334,110.49593423427099,172.96997658965512,151.46001895368323,175.6425253942832
234.98225246515753,194.074377560173,240.18338970421192,229.63088025155628,245.5309426329922
127.4984716525168,62.59544348018124,141.12185790763644,125.60520635550989,141.99935800254786
172.50008094291965,163.97427639491718,179.24540989916946,174.0485548840803,178.0951697181319
123.82721618231292,123.5881054441801,143.8506495849372,122.69973280665192,145.57546678125837
126.4437714152704,85.31221818383065,145.31304140925775,125.66429295495593,145.79121906291337
156.57445454955163,121.0955925284839,177.33966947144626,161.156031630436,172.3948010834283
157.56784162962092,130.357912156446,161.95158864229367,154.92808480402192,164.80960861375883
144.54055780155855,127.41641974287843,160.87613788948687,145.38059680846095,162.65219306413093
181.32248431923298,180.2545811855671,194.63336931642803,181.93891734318106,193.5062529795555
183.19462222875268,206.64248326687053,205.14789273329956,181.86901171203428,210.33593273317265
181.12290946865662,135.03411906178775,234.07776922978192,188.4847031544075,244.8373453629388
206.71068760759314,210.43994404196278,236.73054816526965,219.6330186357803,234.10094503973934
192.66316585274117,135.03956153745239,203.1226600189284,191.3029774635977,205.72633307516395
205.54674769829506,149.8568999533025,211.84621633985026,195.76971610856666,204.86807385085444
168.66607347627078,146.6348463443479,172.45621470958085,166.79954971424812,174.32622864656918
340.6837991784894,252.92827113822477,368.17720227175596,325.95450979347913,377.1041678107869
160.7651641663537,129.98060892191987,187.8111179035843,140.02013140997252,185.94040186736262
135.1084770802331,100.57339589276211,137.74785341471446,130.74092465401708,143.35557950040337
182.447724791764,162.4469086678647,194.78539191787033,181.40418731262557,196.70840936936756
209.93377905190783,173.66446575172196,235.63068452562894,208.95265814490563,238.1959083602104
280.7883228063342,212.32981676426905,315.67713833800053,273.38227889072823,331.5881695220874
146.72408627553094,98.92112234829061,158.8151732491944,142.73619278797364,162.02995243860346
206.9200821934119,174.92591239715645,217.29812823914736,207.58592234543818,218.2735260837574
